,index,channel_subCount,channel_viewCount,title_on_youtube,up_time,log_view,y
1677,1677,5,48393,this is my year (matoma remix),291,8.004365564979574,1
2776,2776,20781,11130274,bubblegum bitch,691,13.486910653066598,0
2001,2001,8813327,8106456026,serena ryder - live in south carolina (part 1),3254,10.135194334510826,0
1692,1692,3240,622557,"kaitlyn baker - ""to pieces"" (official)",824,10.278699617473272,1
3548,3548,954,1159364,08. james blake -  waves know shores,834,10.522719050145906,0
2426,2426,36784,44451061,curtis mayfield - if there's a hell below we're all going to go,2752,14.074684353679315,0
3485,3485,11192,34462319,paradise (feat. badbadnotgood & sean leon),1131,12.402707936963587,0
2718,2718,240321,175258960,work to do - isley brothers,3612,14.571596386797431,0
366,366,32230,28369006,e-chango,186,5.87493073085203,1
3899,3899,18270578,4842427918,skrillex - right in,2550,17.08494173100468,0
1466,1466,335884,93014730,waly ballago seck -thieuguine,1673,12.459885062349313,1
895,895,3176,2318519,alou sangaré - kanu (akwaaba music),3722,11.52247967777504,1
864,864,1936,119170,ariela jacobs - say so,476,7.936302693201959,1
890,890,26479,4383763,will joseph cook - girls like me,1019,14.95463887434957,1
549,549,877,530934,"miami beat wave ft. artofficial, locos por juana, omniscient, and davincci ""succeed""",2309,10.895145463430168,1
696,696,637169,71573035,denzel curry - cash maniac | cazh man1ac from ta13oo act 1: light,145,13.011351366533646,1
1310,1310,31813,28971519,hace poco,566,7.062191632286556,1
685,685,14856,3517361,mormor - whatever comes to mind,244,11.805184546915116,1
1475,1475,1104,84869,"koran streets ""mama house""",762,9.479603858903946,1
176,176,295,99614,gurr - #1985,669,11.07429646408363,1
234,234,60,4054,anderkant,823,4.356708826689592,1
1063,1063,35829,5525755,trevor hall - the fruitful darkness - kickstarter campaign,490,9.407222080101468,1
185,185,748532,188939028,thomas csorba - blank yellow sheet | sofar dallas - fort worth,496,7.262628600974241,1
2687,2687,1007,2203916,supertramp live 2011: bloody well right [full hd],2709,13.834693385381048,0
3468,3468,7130226,2213731167,[house] - unlike pluto - searching for you (feat. karra & eric zayne) [monstercat release],941,14.44374207961247,0
585,585,56,4819,indian blues,1260,5.652489180268651,1
1086,1086,36846,25789512,you make me feel so young,983,9.693260226488464,1
431,431,937,813804,another morning stoner,3284,12.669363167206726,1
1739,1739,101134,96809122,mar de copas - dos caras,2222,11.43700508216134,1
1617,1617,1659,2117523,frank tovey - luddite joe,2890,9.049349685884057,1
1149,1149,70,55841,like hell,301,7.498869733976931,1
1392,1392,19993,487240,sunny sweeney | my bed (featuring will hoge),1363,11.474309368999135,1
2029,2029,6134,19107284,shakira - la pared,4491,15.548073302112622,0
519,519,265,516095,homeland,3802,10.778393631627551,1
1946,1946,1005,366631,daniel romano - modern pressure [official] 2017,584,10.007532202822729,1
1016,1016,1086,266038,beat the clock,291,7.656810091480378,1
1969,1969,40743,14433730,the afters - runaway (official pseudo video),1410,10.780954292552702,0
2484,2484,82756,150469725,bob marley & the wailers -- guiltiness,3783,13.752167055840301,0
1211,1211,32481,14991959,"umphrey's mcgee: ""the silent type"" (official vid)",383,11.199241589979447,1
3419,3419,110964,50224512,luciana mello - simples desejo,1992,14.759298161937089,0
299,299,115470,51205663,black label society - all that once shined,392,13.89258362986176,1
1203,1203,35934,37584369,the nolans attention to me,2232,13.165125887904988,1
801,801,108759,110575446,kenny loggins - this is it,1046,12.362482200747769,1
2229,2229,1902385,167873009,the 1975 - menswear,1930,15.642176640291192,0
3564,3564,3673981,1414740441,lorde - the louvre (vevo x lorde),488,14.514661678749924,0
901,901,50266,687665,"mazzy star ""quiet, the winter harbor""",241,10.789937442399262,1
2437,2437,18739,49986370,joe cocker - with a little help from my friends,4426,17.144068212150692,0
23,23,2592,388899,sam sure - oh my god (audio),1034,10.403959764222627,1
27,27,15037,16835505,siggno - yo queria,2883,10.372052647587516,1
117,117,3710,2170777,365,60,10.54867797155018,1
1647,1647,97,24492,all,1367,6.55250788703459,1
1176,1176,925,93389,cuentame,1074,7.060476365999801,1
3179,3179,27070,33005005,chris stapleton - outlaw state of mind,817,16.57695269975456,0
205,205,19,345828,paralyzed,55,6.824373670043086,1
932,932,14341214,11536374983,[mv] flowsik(플로우식) _ all i need (collab. jessi(제시)),261,12.999307213210813,1
1520,1520,1501,482097,the way you like it,321,10.610660904829166,1
3719,3719,1701,1582436,rihanna - woo ft. travis scott (anti),1051,14.266839011601249,0
1080,1080,6425,3088011,blood on my hands,117,10.132414348606066,1
934,934,218893,71928046,"ryan leslie - ""realize"" in-studio",477,12.7006743707046,1
3163,3163,898087,329326630,daniel caesar - best part (feat. h.e.r.),479,17.869686818212585,0
2144,2144,847,1430121,fats domino - live 18 - going to the river - .mpg,2538,10.377203034325737,0
578,578,1000,377177,cuore di pietra (corazón de piedra),1130,6.703188113240863,1
1417,1417,148807,17831777,"seven lions, slander, & dabin - first time ft. dylan matthew",66,12.786409406460256,1
2154,2154,48857,21327517,one direction - right now (lyrics),1835,16.729693076318856,0
956,956,865,263645,promise me,919,8.536014945656826,1
667,667,6762,10825109,various artists-gimme gimme gimme (a man after midnight,2422,7.143617602704121,1
3499,3499,4,78622,ambition,845,10.214348897935315,0
660,660,4826,1544239,trouble sleeping,167,8.205218426395412,1
990,990,72077,52311706,biggie (feat. junior m.a.f.i.a.),1228,10.01274546347265,1
1699,1699,109283,81667094,garbage - you look so fine,1175,13.612235808227267,1
1463,1463,51,2860,makeup,324,6.236369590203704,1
2077,2077,14380,9018685,i smell pussy (explicit),691,11.9298908572486,0
928,928,67084,54927695,wizboyy ofuasia - salambala (feat. phyno) [clip officiel hd],1113,14.480828060485406,1
1215,1215,997635,435024322,nadia rose - tight up (bbc music sound of 2017),714,13.077591927375268,1
1591,1591,948,357239,el amor te va a encontrar (love is gonna find you),667,4.955827057601261,1
3630,3630,37502,98824247,bob marley & the wailers - one love / people get ready,1311,14.781543762323086,0
3058,3058,5620,3893550,one direction - perfect (live at gma),1125,13.054422809194879,0
1498,1498,120,374417,lady gaga - alejandro (dave aude remix),3110,12.274861496206295,1
1749,1749,868,125331,chula eres tu,101,7.897296472595885,1
251,251,53200,23258526,sir sly - altar,563,12.368671821808089,1
1045,1045,1085,194824,"dance theatre of harlem 2017 new york season ""high above"" with india arie",633,11.140933816919603,1
25,25,13320,8112794,saltnpepa feat. en vogue - whatta man (1993),650,10.095140436758967,1
1816,1816,821,391991,eterno amor -  rossy war,814,7.854381210652365,1
264,264,213,97770,techno animal - bass concussion,1135,8.596743470174246,1
1366,1366,182,45447,pleasure symbols - underneath your skin (official),851,10.724654087310103,1
1219,1219,122773,10164936,in the name of love - martin garrix & bebe rexha cover,822,12.635316127301419,1
291,291,1462,593717,palace intrigue,466,8.031710375322042,1
1891,1891,2601,247230,airways - mate,311,10.545999117127494,1
2454,2454,1174,5465923,nirvana - plateau,3628,15.415193040550772,0
647,647,5471,8995808,rock my world (little country girl),618,10.365175451740571,1
3741,3741,1361,4093904,"leon bridges ""shine""",1248,13.950391913978052,0
19,19,1831964,403981811,juice wrld - hurt me (official audio),208,14.7403454840298,1
440,440,80105,45884436,vince chong - biarkan,2091,9.842197084093021,1
1978,1978,1623747,818877805,bomba estéreo - feelin' (live on kexp),3320,14.475129393060504,0
3256,3256,1819164,758874576,bruno mars 'grenade' live billboard studio session at mophonics studios ny,2978,18.050582639720094,0
938,938,103,123365,feliz navidad,393,4.356708826689592,1
923,923,4466,152962,un gran vacío,1273,7.437206366871292,1
232,232,1323,345203,now that we've found love,667,8.884610231886873,1
3818,3818,565828,39810875,jr del hv larry hernandez,462,13.794630069984919,0
3115,3115,117389,58246458,"maranda curtis - ""god almighty""",539,11.897834061682993,0
3788,3788,0,3695515,natalie grant - king of the world,1159,14.624653845240305,0
2561,2561,29291,61715025,muirsheen durkin (1968),4312,13.605558366817728,0
758,758,37037,7041953,catey shaw - tell everyone,1131,11.15540730848484,1
3722,3722,1255,2908127,maroon 5 - shiver (dj quik remix),3652,9.751210117090551,0
2993,2993,61752,69426414,stokley - be with u from the album introducing stokely,537,10.232899207525533,0
689,689,30012,29587243,astronauta de tus lunares,772,12.699466209982118,1
167,167,3673981,1414732900,lorde - writer in the dark (vevo x lorde),488,14.458648882050898,1
413,413,409879,462715860,"cristian castro - adiós amor, te vas",115,12.388794122345455,1
1126,1126,5279,757952,cautious clay - cold war (acoustic),312,10.612286601034295,1
971,971,158,109572,girls who play guitar,1223,7.273092595999522,1
207,207,556,143735,magneta lane - the constant lover,3322,11.147872667473326,1
2875,2875,2098,870911,i'm a wanted man,1023,12.193139370118274,0
3200,3200,52280,33076055,tush,1193,12.251963372295261,0
